",""Kingdom"",""Phylum"",""Class"",""Order"",""Family"",""Genus"",""Species"""
"OTU5835,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Porphyromonadaceae"",NA,NA"
"OTU5836,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Eubacteriaceae"",""Eubacterium"",NA"
"OTU5837,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Hungatella"",NA"
"OTU5838,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5839,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU5840,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU5841,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU5842,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU5843,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5844,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Peptoniphilus"",NA"
"OTU5845,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Oscillibacter"",NA"
"OTU5846,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU5847,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",NA"
"OTU5848,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5849,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Peptococcaceae"",""Peptococcus"",NA"
"OTU5850,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5851,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5852,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5853,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5854,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Eubacteriaceae"",""Eubacterium"",NA"
"OTU5855,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5856,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Rikenellaceae"",""hoa5-07d05_gut_group"",NA"
"OTU5857,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""UBA1819"",NA"
"OTU5858,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5859,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Carnobacteriaceae"",NA,NA"
"OTU5860,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU5861,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Eisenbergiella"",NA"
"OTU5862,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Eggerthellaceae"",""Eggerthella"",NA"
"OTU5863,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU5864,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5865,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU5866,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Oscillospira"",NA"
"OTU5867,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5868,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5869,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5870,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5871,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Porphyromonadaceae"",NA,NA"
"OTU5872,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Christensenellaceae"",""Christensenella"",NA"
"OTU5873,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""GCA-900066755"",NA"
"OTU5874,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5875,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5876,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU5877,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5878,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5879,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5880,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Oscillibacter"",NA"
"OTU5881,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU5882,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5883,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Muribaculaceae"",NA,NA"
"OTU5884,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5885,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5886,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU5887,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XI"",""Murdochiella"",NA"
"OTU5888,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5889,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5890,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU5891,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",NA,NA"
"OTU5892,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5893,""Bacteria"",""Fusobacteria"",""Fusobacteriia"",""Fusobacteriales"",""Fusobacteriaceae"",""Fusobacterium"",NA"
"OTU5894,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5895,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5896,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5897,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5898,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5899,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU5900,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5901,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5902,""Bacteria"",""Verrucomicrobia"",""Verrucomicrobiae"",""Verrucomicrobiales"",""Akkermansiaceae"",""Akkermansia"",NA"
"OTU5903,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Pyramidobacter"",NA"
"OTU5904,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Subdoligranulum"",NA"
"OTU5905,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5906,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Family_XIII"",""Family_XIII_UCG-001"",NA"
"OTU5907,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU5908,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU5909,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5910,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU5911,""Bacteria"",""Firmicutes"",""Clostridia"",NA,NA,NA,NA"
"OTU5912,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Moryella"",NA"
"OTU5913,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5914,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",NA,NA"
"OTU5915,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU5916,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",NA,NA"
"OTU5917,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Hydrogenoanaerobacterium"",NA"
"OTU5918,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5919,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Anaerotruncus"",NA"
"OTU5920,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""UBA1819"",NA"
"OTU5921,""Bacteria"",""Verrucomicrobia"",""Verrucomicrobiae"",""Verrucomicrobiales"",""Akkermansiaceae"",""Akkermansia"",NA"
"OTU5922,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""GCA-900066755"",NA"
"OTU5923,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5924,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",NA,NA,NA,NA"
"OTU5925,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5926,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5927,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5928,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU5929,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",NA,NA,NA"
"OTU5930,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5931,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",NA,NA,NA,NA"
"OTU5932,""Bacteria"",""Firmicutes"",""Bacilli"",NA,NA,NA,NA"
"OTU5933,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Caproiciproducens"",NA"
"OTU5934,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5935,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5936,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Cuneatibacter"",NA"
"OTU5937,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Oscillospira"",NA"
"OTU5938,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Sutterella"",NA"
"OTU5939,""Bacteria"",""Synergistetes"",""Synergistia"",""Synergistales"",""Synergistaceae"",""Jonquetella"",NA"
"OTU5940,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5941,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-013"",NA"
"OTU5942,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5943,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5944,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU5945,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5946,""Bacteria"",""Proteobacteria"",""Deltaproteobacteria"",""Desulfovibrionales"",""Desulfovibrionaceae"",NA,NA"
"OTU5947,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Barnesiellaceae"",""Barnesiella"",NA"
"OTU5948,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiales_vadinBB60_group"",NA,NA"
"OTU5949,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU5950,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5951,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Fusicatenibacter"",NA"
"OTU5952,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU5953,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiales_vadinBB60_group"",NA,NA"
"OTU5954,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5955,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5956,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""GCA-900066755"",NA"
"OTU5957,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Rikenellaceae"",""Alistipes"",NA"
"OTU5958,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU5959,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU5960,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5961,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5962,""Bacteria"",""Actinobacteria"",""Coriobacteriia"",""Coriobacteriales"",""Eggerthellaceae"",NA,NA"
"OTU5963,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5964,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU5965,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU5966,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5967,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5968,""Bacteria"",""Firmicutes"",""Erysipelotrichia"",""Erysipelotrichales"",""Erysipelotrichaceae"",""Erysipelotrichaceae_UCG-003"",NA"
"OTU5969,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5970,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5971,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU5972,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU5973,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Rikenellaceae"",""Alistipes"",NA"
"OTU5974,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU5975,""Bacteria"",""Firmicutes"",""Erysipelotrichia"",""Erysipelotrichales"",""Erysipelotrichaceae"",""Faecalitalea"",NA"
"OTU5976,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5977,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5978,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5979,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5980,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5981,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5982,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Phocea"",NA"
"OTU5983,""Bacteria"",""Firmicutes"",NA,NA,NA,NA,NA"
"OTU5984,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Neoscardovia"",NA"
"OTU5985,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5986,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU5987,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Pseudoflavonifractor"",NA"
"OTU5988,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5989,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5990,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-010"",NA"
"OTU5991,""Bacteria"",""Spirochaetes"",""Brachyspirae"",""Brachyspirales"",""Brachyspiraceae"",""Brachyspira"",NA"
"OTU5992,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU5993,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5994,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5995,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",""Carnobacteriaceae"",""Isobaculum"",NA"
"OTU5996,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU5997,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Tannerellaceae"",""Parabacteroides"",NA"
"OTU5998,""Bacteria"",""Firmicutes"",""Erysipelotrichia"",""Erysipelotrichales"",""Erysipelotrichaceae"",""Merdibacter"",NA"
"OTU5999,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU6000,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lachnospiraceae_UCG-004"",NA"
"OTU6001,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU6002,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU6003,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU6004,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Betaproteobacteriales"",""Burkholderiaceae"",""Sutterella"",NA"
"OTU6005,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",NA,NA,NA,NA"
"OTU6006,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU6007,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU6008,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU6009,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6010,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6011,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU6012,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU6013,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6014,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU6015,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6016,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU6017,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU6018,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU6019,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Rikenellaceae"",""Alistipes"",NA"
"OTU6020,""Bacteria"",""Proteobacteria"",""Gammaproteobacteria"",""Enterobacteriales"",""Enterobacteriaceae"",NA,NA"
"OTU6021,""Bacteria"",NA,NA,NA,NA,NA,NA"
"OTU6022,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU6023,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU6024,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6025,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Anaerostipes"",NA"
"OTU6026,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6027,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU6028,""Bacteria"",""Firmicutes"",""Bacilli"",""Lactobacillales"",NA,NA,NA"
"OTU6029,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Prevotellaceae"",NA,NA"
"OTU6030,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU6031,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6032,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""Lactonifactor"",NA"
"OTU6033,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU6034,""Bacteria"",""Firmicutes"",NA,NA,NA,NA,NA"
"OTU6035,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6036,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",NA,NA"
"OTU6037,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6038,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",NA,NA"
"OTU6039,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Clostridiaceae_1"",NA,NA"
"OTU6040,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""UC5-1-2E3"",NA"
"OTU6041,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Pseudoscardovia"",NA"
"OTU6042,""Bacteria"",""Tenericutes"",""Mollicutes"",""Izimaplasmatales"",NA,NA,NA"
"OTU6043,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",NA,NA,NA"
"OTU6044,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""GCA-900066225"",NA"
"OTU6045,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU6046,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6047,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Lachnospiraceae"",""UC5-1-2E3"",NA"
"OTU6048,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",NA,NA"
"OTU6049,""Bacteria"",""Actinobacteria"",NA,NA,NA,NA,NA"
"OTU6050,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6051,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",""Bacteroidaceae"",""Bacteroides"",NA"
"OTU6052,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6053,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",NA,NA,NA,NA"
"OTU6054,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Anaerofilum"",NA"
"OTU6055,""Bacteria"",""Firmicutes"",""Clostridia"",""Clostridiales"",""Ruminococcaceae"",""Ruminococcaceae_UCG-013"",NA"
"OTU6056,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6057,""Bacteria"",""Actinobacteria"",""Actinobacteria"",""Bifidobacteriales"",""Bifidobacteriaceae"",""Bifidobacterium"",NA"
"OTU6058,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
"OTU6059,""Bacteria"",""Bacteroidetes"",""Bacteroidia"",""Bacteroidales"",NA,NA,NA"
